"Extensions","Rozšíření"
"Dashboard","Řídicí panel"
"Changes have been made to this section that have not been saved.","V této sekci byly provedeny změny, které nebyly uloženy."
"This tab contains invalid data. Please resolve this before saving.","Tato záložka obsahuje neplatná data. Před uložením odstraňte problém prosím."
"Installed","Nainstalováno"
"Resources & Support","Zdroje a podpora"
"User Documentation","Dokumentace uživatele"
"Contact Support","Kontaktovat podporu"
"Upgrade","Upgrade"
"Not Installed","Není nainstalováno"
"Connect your Adobe Commerce (Magento) store with global Amazon marketplaces. Automate listings, inventory synchronization, and order management for efficient multichannel selling.","Propojte svůj obchod Adobe Commerce (Magento) s globálními tržištěmi Amazon. Automatizujte výpisy, synchronizaci zásob a správu objednávek pro efektivní vícekanálový prodej."
"Key Features","Klíčové vlastnosti"
"Automated listings","Automatizované nabídky"
"List and update products on Amazon from your Magento system.","Seznam a aktualizace produktů na Amazonu ze systému Magento."
"Real-time inventory sync","Synchronizace zásob v reálném čase"
"Prevent overselling with automatic stock updates.","Zabraňit nadměrnému prodeji pomocí automatické aktualizace zásob."
"Centralized order management","Centralizovaná správa objednávek"
"Handle Amazon orders directly in Magento.","Zpracovávejte objednávky Amazonu přímo v Magentu."
"Fulfillment by Amazon (FBA) support","Podpora služby Fulfilment by Amazon (FBA)"
"Synchronize FBA stock and orders with Magento.","Synchronizace zásob a objednávek FBA s Magentem."
"Amazon Business integration","Integrace Amazon Business"
"Access B2B features like special pricing and quantity discounts.","Přístup k funkcím B2B, jako speciální ceny a množstevní slevy."
"Dynamic repricing tool","Dynamický nástroj pro přecenění"
"Automatically adjust prices to stay competitive and win the Buy Box.","Automaticky upravujte ceny, abyste si udrželi konkurenceschopnost a získali Buy Box."
"Install","Instalovat"
"View Installation Steps","Zobrazit instalační kroky"
"Connect your Adobe Commerce (Magento) store with global eBay marketplaces, including eBay Motors. Automate listings, inventory sync, and order management for a smooth multichannel selling experience.","Propojte svůj obchod Adobe Commerce (Magento) s globálními tržištěmi eBay, včetně eBay Motors. Automatizujte nabídky, synchronizaci zásob a správu objednávek pro efektivní vícekanálový prodej."
"List and update products on eBay from your Magento system.","Seznam a aktualizace produktů na eBay ze systému Magento."
"Handle eBay orders directly in Magento.","Zpracovávejte objednávky eBay přímo v Magentu."
"Flexible stock & pricing rules","Flexibilní pravidla pro zásoby a ceny"
"Adjust quantities and prices dynamically per marketplace.","Dynamicky upravujte množství a ceny podle tržiště."
"eBay Motors compatibility","eBay Motors kompatibilita"
"List auto parts with the Parts Compatibility feature.","Seznam autodílů pomocí funkce Kompatibilita dílů."
"Promotional tools","Propagační nástroje"
"Apply and manage eBay promotions for your listings.","Použijte a spravujte propagační akce eBay pro své nabídky."
"Connect your Adobe Commerce (Magento) store with Kaufland's online marketplace in Europe, reaching 30+ million monthly visitors.","Pripojte svůj obchod Adobe Commerce (Magento) s online tržištěm Kaufland v Evropě, které měsíčně navštíví více než 30+ milionů návštěvníků."
"Automated product mapping","Automatizované mapování produktů"
"Link your existing Kaufland listings with Magento products.","Propojte své existující nabídky Kaufland s produkty Magento."
"Easy product listing","Snadná nabídka produktů"
"List and update products on Kaufland from your Magento system.","Seznam a aktualizace produktů na Kaufland ze systému Magento."
"Real-time inventory synchronization","Synchronizace zásob v reálném čase"
"Automatically update stock levels to prevent overselling.","Automaticky aktualizovat stav zásob, aby se zabránilo přeprodeji."
"Handle Kaufland orders directly within Magento.","Spravujte objednávky Kaufland přímo v Magento."
"Adjust product quantities and prices dynamically for Kaufland.","Dynamicky upravujte množství položek a ceny pro Kaufland."
"Connect your Adobe Commerce (Magento) store with OnBuy, Europe’s rapidly growing marketplace and reach over 5 million monthly visitors.","Propojte svůj obchod Adobe Commerce (Magento) s OnBuy, rychle rostoucím evropským tržištěm, a oslovte více než 5 milionů návštěvníků měsíčně."
"Link your existing OnBuy listings with Magento products.","Propojte své existující nabídky OnBuy s produkty Magento."
"List and update products on OnBuy from your Magento system.","Seznam a aktualizace produktů na OnBuy ze systému Magento."
"Handle OnBuy orders directly within Magento.","Spravujte objednávky OnBuy přímo v Magento."
"Adjust product quantities and prices dynamically for OnBuy.","Dynamicky upravujte množství položek a ceny pro OnBuy."
"Connect your Adobe Commerce (Magento) store with OTTO Market, one of Germany’s leading online retailers with over 60 million monthly visitors.","Propojte svůj obchod Adobe Commerce (Magento) s OTTO Market, jedním z předních německých online prodejců s více než 60 miliony návštěvníků měsíčně."
"Link your existing OTTO listings with Magento products.","Propojte své existující nabídky OTTO s produkty Magento."
"List and update products on OTTO from your Magento system.","Seznam a aktualizace produktů na OTTO ze systému Magento."
"Handle OTTO orders directly within Magento.","Spravujte objednávky OTTO přímo v Magento."
"Adjust product quantities and prices dynamically for OTTO.","Dynamicky upravujte množství položek a ceny pro OTTO."
"Connect your Adobe Commerce (Magento) store with TikTok Shop and reach a vast audience in multiple countries across the globe.","Propojte svůj obchod Adobe Commerce (Magento) s TikTok Shop a oslovte široké publikum v několika zemích po celém světě."
"Quickly list and categorize products from Magento on TikTok Shop.","Rychle nabízejte a kategorizujte položky z Magento na TikTok Shop."
"Handle TikTok Shop orders directly within Magento.","Spravujte objednávky TikTok Shop přímo v Magento."
"Adjust product quantities and prices dynamically for TikTok Shop.","Dynamicky upravujte množství položek a ceny pro TikTok Shop."
"Manage items with TikTok Shop promotions applied.","Spravujte položky s aplikovanými promoakcemi TikTok Shop."
"Connect your Adobe Commerce (Magento) store with Walmart U.S. and Canadian marketplaces, reaching over 120 million online shoppers monthly.","Propojte svůj obchod Adobe Commerce (Magento) s tržišti Walmart USA a Kanada a oslovte více než 120 milionů online nakupujících měsíčně."
"Link your Magento products to Walmart's catalog.","Propojte své produkty v Magento s katalogem Walmart."
"Handle Walmart orders directly within Magento.","Spravujte objednávky Walmart přímo v Magento."
"Walmart Fulfillment Services (WFS) support","Podpora služby vyřizování objednávek Walmart (WFS)"
"Integrate and manage WFS orders.","Integrovat a spravovat objednávky WFS."
"Unique SKU generation","Generování unikátního SKU"
"Prevent duplicate SKUs and data inaccuracies.","Zabraňte duplicitním SKU a nepřesnostem v datech."
"Use 'Clearance' and 'Reduced Price' badges to boost sales.","Použijte štítky 'Výprodej' a 'Snížená cena' k zvýšení prodeje."
"Custom shipping options","Vlastní možnosti přepravy"
"Offer various shipping carriers and create smart shipping rules.","Nabídněte různé přepravce a vytvořte chytrá pravidla přepravy."
"Connect your Adobe Commerce (Magento) store with Temu, one of the fastest-growing marketplaces with 100M+ shoppers.","Propojte svůj obchod Adobe Commerce (Magento) s Temu, jedním z nejrychleji rostoucích tržišť s více než 100M+ nakupujících."
"Quickly list and categorize products from Magento on Temu.","Rychle nabízejte a kategorizujte položky z Magento na Temu."
"Handle Temu orders directly within Magento.","Spravujte objednávky Temu přímo v Magento."
"Adjust product quantities and prices dynamically for Temu.","Dynamicky upravujte množství položek a ceny pro Temu."
"If you're selling in the US, take advantage of our exclusive offer.","Pokud prodáváte v USA, využijte naši exkluzivní nabídku."
"Start selling on Temu","Začněte prodávat na Temu"
"with M2E and get a 90-day free trial for M2E Connect extension.","s M2E a získejte 90denní bezplatnou zkušební verzi rozšíření M2E Connect."
